_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
25812                           026 "&Вторинні лінії сітки"
25813                           025 "Вісь (Y) значень"
25814                           026 "&Основні лінії сітки"
25815                           026 "&Вторинні лінії сітки"
25816                           022 "Первинна вісь"
25817                           024 "Вторинна вісь"
25900                           014 "Лінія"
25901                           020 "&Автоматично"
25902                           017 "&Налаштування"
25903                           014 "Лінія"
25904                           017 "&Стиль:"
25906                           017 "&Колір:"
25908                           016 "Зразок"
25909                           016 "Опорна точка"
26000                           021 "Підписи даних"
26001                           021 "Підписи даних"
26002                           015 "&Жоден"
26003                           020 "Показати значення"
26004                           022 "Показати відсотки"
26005                           020 "Показати підпис"
26006                           032 "Показати підпис та відсотки"
26007                           026 "Показати розмір бульбашки"
26009                           030 "Показати підпис та значення"
26010                           029 "&Показати значення X та Y"
26011                           036 "Показати підпис та розмір бульбашки"
26100                           016 "Легенда"
26101                           014 "Тип"
26103                           027 "Посилальні бульбашки"
26104                           018 "&Видимий"
26105                           024 "&Максимальний розмір:"
26108                           019 "&Пересувний"
26109                           025 "&Показати на запит"
26200                           014 "Лінія"
26201                           014 "Лінія"
26202                           020 "&Автоматично"
26203                           017 "&Налаштування"
26204                           017 "&Стиль:"
26206                           017 "&Колір:"
26208                           017 "&Згладити"
26209                           016 "Опорна точка"
26210                           020 "&Автоматично"
26211                           015 "&Жоден"
26212                           017 "&Налаштування"
26213                           017 "&Стиль:"
26215                           022 "&Передній план:"
26217                           022 "&Фон:"
26219                           016 "&Розмір:"
26222                           016 "Зразок"
26223                           016 "&Вершина:"
